Year,Cyclone_ID,Name,Date,Latitude,Longitude,Wind_Speed,Pressure,Grade,Basin of origin,Time (UTC),"CI No [or ""T. No""]","Pressure Drop (hPa)[or ""delta P""]",Outermost closed isobar (hPa),Diameter/Size of outermost closed isobar,BARBin of origin,,,,Diameter-Size of outermost closed isobar,"Pressure Drop(hPa)[or""delta P""]",Diameter/Size of outermost closed isobar(in degree),,,DD,MM,YYYY
2020,,BUREVI’ ,2020-12-02 00:00:00,8.8,81.8,45,996,CS,BOB,0900,3,10,,,,,,,,,,,,,,
2020,,BUREVI’ ,2020-12-02 00:00:00,8.8,81.4,45,996,CS,BOB,1200,3,10,,,,,,,,,,,,,,
2020,,BUREVI’ ,2020-12-02 00:00:00,8.8,81.4,45,996,CS,BOB,1500,3,10,,,,,,,,,,,,,,
2020,,BUREVI’ ,2020-12-02 00:00:00,8.9,80.9,45,996,CS,BOB,1800,-,10,,,,,,,,,,,,,,
2020,,BUREVI’ ,2020-12-02 00:00:00,9.0,80.8,40,998,CS,BOB,2100,-,8,,,,,,,,,,,,,,
2020,,BUREVI’ ,2020-12-03 00:00:00,9.0,80.3,40,998,CS,BOB,0000,-,8,,,,,,,,,,,,,,
2020,,BUREVI’ ,2020-12-03 00:00:00,9.1,80.2,40,998,CS,BOB,0300,-,8,,,,,,,,,,,,,,
2020,,BUREVI’ ,2020-12-03 00:00:00,9.2,79.7,40,998,CS,BOB,0600,-,8,,,,,,,,,,,,,,
2020,,BUREVI’ ,2020-12-03 00:00:00,9.2,79.3,35,999,CS,BOB,0900,2.5,7,,,,,,,,,,,,,,
2020,,BUREVI’ ,2020-12-03 00:00:00,9.2,79.1,30,1000,DD,BOB,1200,2,6,,,,,,,,,,,,,,
2020,,BUREVI’ ,2020-12-03 00:00:00,9.2,78.8,30,1000,DD,BOB,1500,2,6,,,,,,,,,,,,,,
2020,,BUREVI’ ,2020-12-03 00:00:00,9.1,78.6,30,1000,DD,BOB,1800,2,6,,,,,,,,,,,,,,
2020,,BUREVI’ ,2020-12-03 00:00:00,9.1,78.6,30,1000,DD,BOB,2100,2,6,,,,,,,,,,,,,,
2020,,BUREVI’ ,2020-12-04 00:00:00,9.1,78.6,30,1000,DD,BOB,0000,2,6,,,,,,,,,,,,,,
2020,,BUREVI’ ,2020-12-04 00:00:00,9.1,78.6,30,1001,DD,BOB,0300,2,5,,,,,,,,,,,,,,
2020,,BUREVI’ ,2020-12-04 00:00:00,9.1,78.6,30,1001,DD,BOB,0600,2,5,,,,,,,,,,,,,,
2020,,BUREVI’ ,2020-12-04 00:00:00,9.1,78.6,25,1002,D,BOB,1200,1.5,4,,,,,,,,,,,,,,
2020,,BUREVI’ ,2020-12-04 00:00:00,9.1,78.6,25,1003,D,BOB,1800,1.5,4,,,,,,,,,,,,,,
2020,,BUREVI’ ,2020-12-05 00:00:00,9.1,78.6,20,1004,D,BOB,0000,1.5,3,,,,,,,,,,,,,,
2020,,BUREVI’ ,2020-12-05 00:00:00,9.1,78.6,20,1006,D,BOB,0300,1.5,3,,,,,,,,,,,,,,
2022,13.0,MANDOUS,2022-12-06 00:00:00,8.2,88.2,25,1000,D,BOB,1200,1.5,3,,,,,,,,,,,,,,
2022,,MANDOUS,,8.4,87.0,25,1000,D,BOB,1800,1.5,4,,,,,,,,,,,,,,
2022,,MANDOUS,2022-12-07 00:00:00,8.6,86.3,30,999,DD,BOB,0000,2,5,,,,,,,,,,,,,,
2022,,MANDOUS,,8.7,85.7,30,999,DD,BOB,0300,2,5,,,,,,,,,,,,,,
2022,,MANDOUS,,8.7,85.5,30,998,DD,BOB,0600,2,5,,,,,,,,,,,,,,
2022,,MANDOUS,,8.9,85.0,30,998,DD,BOB,1200,2,6,,,,,,,,,,,,,,
2022,,MANDOUS,,9.2,84.6,35,997,CS,BOB,1800,2.5,7,,,,,,,,,,,,,,
2022,,MANDOUS,,9.3,84.4,35,997,CS,BOB,2100,2.5,7,,,,,,,,,,,,,,
2022,,MANDOUS,2022-12-08 00:00:00,9.4,84.1,40,995,CS,BOB,0000,2.5,8,,,,,,,,,,,,,,
2022,,MANDOUS,,9.5,83.8,40,994,CS,BOB,0300,2.5,9,,,,,,,,,,,,,,
2022,,MANDOUS,,9.7,83.5,45,992,CS,BOB,0600,3,10,,,,,,,,,,,,,,
2022,,MANDOUS,,9.8,83.2,45,992,CS,BOB,0900,3,10,,,,,,,,,,,,,,
2022,,MANDOUS,,10.1,82.9,50,990,SCS,BOB,1200,3,12,,,,,,,,,,,,,,
2022,,MANDOUS,,10.4,82.6,50,990,SCS,BOB,1500,3,12,,,,,,,,,,,,,,
2022,,MANDOUS,,10.6,82.3,50,990,SCS,BOB,1800,3,12,,,,,,,,,,,,,,
2022,,MANDOUS,,10.7,82.0,50,990,SCS,BOB,2100,3,12,,,,,,,,,,,,,,
2022,,MANDOUS,2022-12-09 00:00:00,11.0,81.7,50,990,SCS,BOB,0000,3,12,,,,,,,,,,,,,,
2022,,MANDOUS,,11.1,81.5,45,991,CS,BOB,0300,3,11,,,,,,,,,,,,,,
2022,,MANDOUS,,11.4,81.3,45,992,CS,BOB,0600,3,10,,,,,,,,,,,,,,
2022,,MANDOUS,,11.7,81.0,45,992,CS,BOB,0900,3,10,,,,,,,,,,,,,,
2022,,MANDOUS,,12.0,80.8,40,993,CS,BOB,1200,2.5,9,,,,,,,,,,,,,,
2022,,MANDOUS,,12.2,80.6,40,994,CS,BOB,1500,2.5,8,,,,,,,,,,,,,,
2022,,MANDOUS,,12.5,80.3,35,995,CS,BOB,1800,2.5,7,,,,,,,,,,,,,,
2022,,MANDOUS,,12.8,80.0,35,996,CS,BOB,2100,-,7,,,,,,,,,,,,,,
2022,,MANDOUS,2022-12-10 00:00:00,12.9,79.7,30,998,DD,BOB,0000,-,5,,,,,,,,,,,,,,
2022,,MANDOUS,,12.8,79.5,30,1000,DD,BOB,0300,-,4,,,,,,,,,,,,,,
2022,,MANDOUS,,12.7,79.3,25,1002,D,BOB,0600,-,3,,,,,,,,,,,,,,
2024,12.0,Fengal,2024-11-25 00:00:00,5.0,85.3,20,1003,D,BOB,0300,1.5,3,,,,,,,,,,,,,,
2024,,Fengal,,5.1,84.5,20,1003,D,BOB,0600,1.5,3,,,,,,,,,,,,,,
2024,,Fengal,,5.2,83.5,25,1002,D,BOB,1200,1.5,4,,,,,,,,,,,,,,
2024,,Fengal,,5.5,83.2,25,1002,D,BOB,1800,1.5,4,,,,,,,,,,,,,,
2024,,Fengal,2024-11-26 00:00:00,6.0,82.9,25,1002,D,BOB,0000,1.5,4,,,,,,,,,,,,,,
2024,,Fengal,,6.3,82.8,30,1001,DD,BOB,0300,2,5,,,,,,,,,,,,,,
2024,,Fengal,,6.6,82.8,30,1001,DD,BOB,0600,2,5,,,,,,,,,,,,,,
2024,,Fengal,,7.0,82.7,30,1001,DD,BOB,1200,2,5,,,,,,,,,,,,,,
2024,,Fengal,,7.5,82.6,30,1001,DD,BOB,1800,2,5,,,,,,,,,,,,,,
2024,,Fengal,2024-11-27 00:00:00,8.2,82.4,30,1001,DD,BOB,0000,2,5,,,,,,,,,,,,,,
2024,,Fengal,,8.5,82.3,30,1001,DD,BOB,0300,2,5,,,,,,,,,,,,,,
2024,,Fengal,,8.7,82.2,30,1001,DD,BOB,0600,2,5,,,,,,,,,,,,,,
2024,,Fengal,,8.9,82.2,30,1000,DD,BOB,1200,2,6,,,,,,,,,,,,,,
2024,,Fengal,,9.0,82.2,30,1000,DD,BOB,1800,2,6,,,,,,,,,,,,,,
2024,,Fengal,2024-11-28 00:00:00,9.0,82.2,30,1000,DD,BOB,0000,2,6,,,,,,,,,,,,,,
2024,,Fengal,,9.1,82.3,30,1000,DD,BOB,0300,2,6,,,,,,,,,,,,,,
2024,,Fengal,,9.3,82.4,30,1000,DD,BOB,0600,2,6,,,,,,,,,,,,,,
2024,,Fengal,,9.6,82.7,30,1000,DD,BOB,1200,2,6,,,,,,,,,,,,,,
2024,,Fengal,,10.1,82.8,30,1000,DD,BOB,1800,2,6,,,,,,,,,,,,,,
2024,,Fengal,2024-11-29 00:00:00,10.4,82.7,30,1000,DD,BOB,0000,2,6,,,,,,,,,,,,,,
2024,,Fengal,,10.6,82.6,30,1000,DD,BOB,0300,2,6,,,,,,,,,,,,,,
2024,,Fengal,,10.9,82.5,30,1000,DD,BOB,0600,2,6,,,,,,,,,,,,,,
2024,,Fengal,,11.2,82.2,35,999,CS,BOB,0900,2.5,7,,,,,,,,,,,,,,
2024,,Fengal,,11.5,81.9,35,999,CS,BOB,1200,2.5,7,,,,,,,,,,,,,,
2024,,Fengal,,11.6,81.7,35,999,CS,BOB,1500,2.5,7,,,,,,,,,,,,,,
2024,,Fengal,,11.8,81.7,35,999,CS,BOB,1800,2.5,7,,,,,,,,,,,,,,
2024,,Fengal,,11.9,81.5,40,996,CS,BOB,2100,2.5,8,,,,,,,,,,,,,,
2024,,Fengal,2024-11-30 00:00:00,12.2,81.2,45,996,CS,BOB,0000,3,10,,,,,,,,,,,,,,
2024,,Fengal,,12.3,80.9,45,996,CS,BOB,0300,3,10,,,,,,,,,,,,,,
2024,,Fengal,,12.3,80.7,45,996,CS,BOB,0600,3,10,,,,,,,,,,,,,,
2024,,Fengal,,12.3,80.5,45,996,CS,BOB,0900,3,12,,,,,,,,,,,,,,
2024,,Fengal,,12.3,80.3,40,998,CS,BOB,1200,3,11,,,,,,,,,,,,,,
2024,,Fengal,,12.2,80.1,40,998,CS,BOB,1500,2.5,10,,,,,,,,,,,,,,
2024,,Fengal,,12.0,79.8,40,998,CS,BOB,1800,-,10,,,,,,,,,,,,,,
2024,,Fengal,,12.0,79.8,35,999,CS,BOB,2100,-,11,,,,,,,,,,,,,,
2024,,Fengal,2024-12-01 00:00:00,12.0,79.8,35,999,CS,BOB,0000,-,10,,,,,,,,,,,,,,
2024,,Fengal,,12.0,79.8,35,999,CS,BOB,0300,-,7,,,,,,,,,,,,,,
2024,,Fengal,,12.0,79.8,30,1000,DD,BOB,0600,-,6,,,,,,,,,,,,,,
2024,,Fengal,,12.1,79.6,25,1001,D,BOB,1200,-,4,,,,,,,,,,,,,,
2024,,Fengal,,12.1,79.2,25,1002,D,BOB,1800,-,3,,,,,,,,,,,,,,
2025,15.0,Ditwah,26-11-2025,5.9,82.6,25,1004,D,BOB,1800,1.5,4,,,,,,,,,,,,26,11,2025
2025,,Ditwah,27-11-2025,6.3,82.4,30,1003,DD,BOB,0000,2,5,,,,,,,,,,,,27,11,2025
2025,,Ditwah,27-11-2025,6.7,82.1,30,1003,DD,BOB,0300,2,5,,,,,,,,,,,,27,11,2025
2025,,Ditwah,27-11-2025,6.9,81.9,35,1002,CS,BOB,0600,2.5,6,,,,,,,,,,,,27,11,2025
2025,,Ditwah,27-11-2025,7.2,81.8,35,1002,CS,BOB,0900,2.5,6,,,,,,,,,,,,27,11,2025
2025,,Ditwah,27-11-2025,7.6,81.6,35,1002,CS,BOB,1200,2.5,6,,,,,,,,,,,,27,11,2025
2025,,Ditwah,27-11-2025,7.7,81.5,35,1002,CS,BOB,1500,2.5,6,,,,,,,,,,,,27,11,2025
2025,,Ditwah,27-11-2025,7.9,81.3,35,1002,CS,BOB,1800,2.5,6,,,,,,,,,,,,27,11,2025
2025,,Ditwah,27-11-2025,8.1,81.2,35,1002,CS,BOB,2100,2.5,6,,,,,,,,,,,,27,11,2025
2025,,Ditwah,28-11-2025,8.2,81.1,35,1002,CS,BOB,0000,2.5,6,,,,,,,,,,,,28,11,2025
2025,,Ditwah,28-11-2025,8.3,81.0,35,1002,CS,BOB,0300,2.5,6,,,,,,,,,,,,28,11,2025
2025,,Ditwah,28-11-2025,8.4,81.0,35,1002,CS,BOB,0600,2.5,6,,,,,,,,,,,,28,11,2025
2025,,Ditwah,28-11-2025,8.5,81.0,35,1002,CS,BOB,0900,2.5,6,,,,,,,,,,,,28,11,2025
2025,,Ditwah,28-11-2025,8.7,80.9,35,1002,CS,BOB,1200,2.5,6,,,,,,,,,,,,28,11,2025
2025,,Ditwah,28-11-2025,8.8,80.8,35,1002,CS,BOB,1500,2.5,6,,,,,,,,,,,,28,11,2025
2025,,Ditwah,28-11-2025,9.0,80.8,35,1002,CS,BOB,1800,2.5,6,,,,,,,,,,,,28,11,2025
2025,,Ditwah,28-11-2025,9.2,80.8,35,1001,CS,BOB,2100,2.5,7,,,,,,,,,,,,28,11,2025
2025,,Ditwah,29-11-2025,9.4,80.7,35,1001,CS,BOB,0000,2.5,7,,,,,,,,,,,,29,11,2025
2025,,Ditwah,29-11-2025,9.6,80.7,40,1000,CS,BOB,0300,2.5,8,,,,,,,,,,,,29,11,2025
2025,,Ditwah,29-11-2025,9.9,80.7,40,1000,CS,BOB,0600,2.5,8,,,,,,,,,,,,29,11,2025
2025,,Ditwah,29-11-2025,10.1,80.6,40,1000,CS,BOB,0900,2.5,8,,,,,,,,,,,,29,11,2025
2025,,Ditwah,29-11-2025,10.4,80.6,40,1000,CS,BOB,1200,2.5,8,,,,,,,,,,,,29,11,2025
2025,,Ditwah,29-11-2025,10.5,80.6,40,1000,CS,BOB,1500,2.5,8,,,,,,,,,,,,29,11,2025
2025,,Ditwah,29-11-2025,10.7,80.6,40,1000,CS,BOB,1800,2.5,8,,,,,,,,,,,,29,11,2025
2025,,Ditwah,29-11-2025,10.8,80.6,40,1000,CS,BOB,2100,2.5,8,,,,,,,,,,,,29,11,2025
2025,,Ditwah,30-11-2025,11.1,80.6,40,1000,CS,BOB,0000,2.5,8,,,,,,,,,,,,30,11,2025
2025,,Ditwah,30-11-2025,11.4,80.6,40,1000,CS,BOB,0300,2.5,8,,,,,,,,,,,,30,11,2025
2025,,Ditwah,30-11-2025,11.5,80.6,35,1001,CS,BOB,0600,2.5,7,,,,,,,,,,,,30,11,2025
2025,,Ditwah,30-11-2025,11.7,80.6,35,1002,CS,BOB,0900,2.5,6,,,,,,,,,,,,30,11,2025
2025,,Ditwah,30-11-2025,11.8,80.6,30,1003,DD,BOB,1200,2,5,,,,,,,,,,,,30,11,2025
2025,,Ditwah,30-11-2025,12.3,80.6,30,1003,DD,BOB,1800,2,5,,,,,,,,,,,,30,11,2025
2025,,Ditwah,01-12-2025,12.8,80.6,30,1003,DD,BOB,0000,2,5,,,,,,,,,,,,1,12,2025
2025,,Ditwah,01-12-2025,12.8,80.6,30,1003,DD,BOB,0300,2,5,,,,,,,,,,,,1,12,2025
2025,,Ditwah,01-12-2025,13.0,80.6,30,1003,DD,BOB,0600,2,5,,,,,,,,,,,,1,12,2025
2025,,Ditwah,01-12-2025,13.0,80.6,30,1003,DD,BOB,1200,2,5,,,,,,,,,,,,1,12,2025
2025,,Ditwah,01-12-2025,13.0,80.6,30,1003,DD,BOB,1800,2,5,,,,,,,,,,,,1,12,2025
2025,,Ditwah,02-12-2025,12.9,80.5,25,1004,D,BOB,0000,1.5,4,,,,,,,,,,,,2,12,2025
2025,,Ditwah,02-12-2025,12.8,80.5,25,1004,D,BOB,0300,1.5,4,,,,,,,,,,,,2,12,2025
2025,,Ditwah,02-12-2025,12.5,80.4,25,1004,D,BOB,0600,1.5,4,,,,,,,,,,,,2,12,2025
2025,,Ditwah,02-12-2025,12.3,80.3,25,1004,D,BOB,1200,1.5,4,,,,,,,,,,,,2,12,2025
2025,,Ditwah,02-12-2025,12.1,80.2,20,1005,D,BOB,1800,1.5,3,,,,,,,,,,,,2,12,2025
